study,condition_arm1,condition_arm2,multi_arm1,multi_arm2,outcome_type,instrument,rating,mean_arm1,sd_arm1,n_arm1,mean_arm2,sd_arm2,n_arm2,mean_change_arm1,mean_change_arm2,sd_change_arm1,sd_change_arm2,n_change_arm1,n_change_arm2,dich_paper,event_arm1,event_arm2,totaln_arm1,totaln_arm2,precalc_g,precalc_g_se,precalc_log_rr,precalc_log_rr_se,other_stat,bl_mean_arm1,bl_sd_arm1,bl_n_arm1,bl_mean_arm2,bl_sd_arm2,bl_n_arm2,rand_arm1,rand_arm2,attr_arm1,attr_arm2,ROB_mod_arm_1,ROB_mod_arm_2,year,time_weeks,time_weeks_needs_cleaning,time,comorbid_mental,format,format_details,n_sessions_arm1,country,age_group,mean_age,percent_women,recruitment,diagnosis,target_group,rob,.id,.g,.g_se,notes
"Mattick, 1989",cbt,wlc,cbt,wlc,msd,FNE,self-report,18.1,10.2,11,21,10,10,,,,,,,,,,,,,,,,,25.9,4.9,11,20.5,9.8,10,NR,NR,NR,NR,#VALUE!,#VALUE!,1989,,6,post,n,grp,grp,6,aus,adul,41.63,0.535,com,sad,adul,,Mattick_1989_msd_FNE_post_NA_self-report_cbt_wlc_cbt_wlc,0.2754865488,0.4391694222,
"Mattick, 1989",CT,wlc,CT,wlc,msd,FNE,self-report,20.6,8.7,11,21,10,10,,,,,,,,,,,,,,,,,24.2,6.3,11,20.5,9.8,10,NR,NR,NR,NR,#VALUE!,#VALUE!,1989,,6,post,n,grp,grp,6,aus,adul,41.63,0.535,com,sad,adul,,Mattick_1989_msd_FNE_post_NA_self-report_CT_wlc_CT_wlc,0.04112064099,0.4369814361,
"Mattick, 1989",Exposure,wlc,Exposure,wlc,msd,FNE,self-report,21.6,5.8,11,21,10,10,,,,,,,,,,,,,,,,,23.2,5.3,11,20.5,9.8,10,NR,NR,NR,NR,#VALUE!,#VALUE!,1989,,6,post,n,grp,grp,6,aus,adul,41.63,0.535,com,sad,adul,,Mattick_1989_msd_FNE_post_NA_self-report_Exposure_wlc_Exposure_wlc,-0.07140354694,0.4370821544,
"Mattick, 1989",CT,wlc,CT,wlc,msd,SIAS,self-report,22.1,9.3,11,29.8,16,10,,,,,,,,,,,,,,,,,30.1,16.3,11,33,16.9,10,NR,NR,NR,NR,#VALUE!,#VALUE!,1989,,6,post,n,grp,grp,6,aus,adul,41.63,0.535,com,sad,adul,,Mattick_1989_msd_SIAS_post_NA_self-report_CT_wlc_CT_wlc,0.5723800542,0.446512174,
"Mattick, 1989",cbt,wlc,cbt,wlc,msd,SPS,self-report,24,12.4,11,37.6,16.5,10,,,,,,,,,,,,,,,,,41.9,6.2,11,37,16.9,10,NR,NR,NR,NR,#VALUE!,#VALUE!,1989,,6,post,n,grp,grp,6,aus,adul,41.63,0.535,com,sad,adul,,Mattick_1989_msd_SPS_post_NA_self-report_cbt_wlc_cbt_wlc,0.9011924295,0.4603161071,
"Mattick, 1989",Exposure,wlc,Exposure,wlc,msd,SIAS,self-report,25.8,10.1,11,29.8,16,10,,,,,,,,,,,,,,,,,29.8,14.8,11,33,16.9,10,NR,NR,NR,NR,#VALUE!,#VALUE!,1989,,6,post,n,grp,grp,6,aus,adul,41.63,0.535,com,sad,adul,,Mattick_1989_msd_SIAS_post_NA_self-report_Exposure_wlc_Exposure_wlc,0.2903160088,0.4394161479,
"Mattick, 1989",Exposure,wlc,Exposure,wlc,msd,SPS,self-report,26.1,7.7,11,37.6,16.5,10,,,,,,,,,,,,,,,,,31.4,9.5,11,37,16.9,10,NR,NR,NR,NR,#VALUE!,#VALUE!,1989,,6,post,n,grp,grp,6,aus,adul,41.63,0.535,com,sad,adul,,Mattick_1989_msd_SPS_post_NA_self-report_Exposure_wlc_Exposure_wlc,0.8723368004,0.458877739,
"Mattick, 1989",CT,wlc,CT,wlc,msd,SPS,self-report,26.6,10.7,11,37.6,16.5,10,,,,,,,,,,,,,,,,,42.7,19.1,11,37,16.9,10,NR,NR,NR,NR,#VALUE!,#VALUE!,1989,,6,post,n,grp,grp,6,aus,adul,41.63,0.535,com,sad,adul,,Mattick_1989_msd_SPS_post_NA_self-report_CT_wlc_CT_wlc,0.7676835085,0.4540205167,
"Mattick, 1989",cbt,wlc,cbt,wlc,msd,SIAS,self-report,28.4,11.9,11,29.8,16,10,,,,,,,,,,,,,,,,,42.6,12.3,11,33,16.9,10,NR,NR,NR,NR,#VALUE!,#VALUE!,1989,,6,post,n,grp,grp,6,aus,adul,41.63,0.535,com,sad,adul,,Mattick_1989_msd_SIAS_post_NA_self-report_cbt_wlc_cbt_wlc,0.09605030805,0.4372041122,
"Mattick, 1989",CT,wlc,CT,wlc,msd,BAT,cr,44.2,26.2,11,31.4,19.1,10,,,,,,,,,,,,,,,,,24.3,13.5,11,23.3,13.7,10,NR,NR,NR,NR,#VALUE!,#VALUE!,1989,,6,post,n,grp,grp,6,aus,adul,41.63,0.535,com,sad,adul,,Mattick_1989_msd_BAT_post_NA_cr_CT_wlc_CT_wlc,0.5317094847,0.4452112179,
